名称,id,今收,增幅,增比,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
科新机电(300092),sz300092,7.65,+0.10,+1.32%,7.57,2.66万手,7.69,8.31,1.31万手,2030.00万,-62.50%,12.78亿,303.59,0.03,2.38亿,7.55,1.59%,7.54,"
                        6.80",1.35万手,1.99%,0.48,18.17亿,3.32,2.30,1.67亿
金刚玻璃(300093),sz300093,9.19,+0.21,+2.34%,9.04,10.43万手,9.24,9.88,4.58万手,9522.00万,-52.87%,19.78亿,107.76,0.06,2.16亿,8.98,4.85%,8.99,"
                        8.08",5.86万手,2.78%,1.52,19.85亿,2.23,4.12,2.15亿
国联水产(300094),sz300094,8.14,+0.12,+1.50%,8.00,16.35万手,8.22,8.82,8.52万手,1.32亿,-51.54%,60.70亿,42.64,0.14,7.84亿,8.02,2.19%,7.90,"
                        7.22",7.83万手,3.99%,0.78,63.81亿,3.34,2.44,7.46亿
华伍股份(300095),sz300095,7.30,+0.15,+2.10%,7.16,3.66万手,7.37,7.87,1.47万手,2661.79万,-31.25%,16.63亿,51.63,0.11,3.79亿,7.15,1.61%,7.15,"
                        6.44",2.19万手,3.08%,0.56,27.63亿,2.16,3.37,2.28亿
易联众(300096),sz300096,12.37,+0.64,+5.46%,11.82,10.10万手,12.43,12.90,3.19万手,1.23亿,-59.12%,47.72亿,--,-0.12,4.30亿,11.73,2.62%,11.78,"
                        10.56",6.91万手,5.54%,1.06,53.19亿,8.10,1.53,3.86亿
智云股份(300097),sz300097,24.18,+1.57,+6.94%,22.81,5.23万手,24.43,24.87,1.97万手,1.24亿,-53.33%,37.35亿,31.65,0.57,2.89亿,22.61,3.39%,22.81,"
                        20.35",3.26万手,7.16%,1.13,69.77亿,3.52,6.86,1.54亿
高新兴(300098),sz300098,14.34,+0.65,+4.75%,13.72,34.79万手,14.35,15.06,14.60万手,4.93亿,-61.00%,83.65亿,43.48,0.26,11.75亿,13.69,5.96%,13.66,"
                        12.32",20.20万手,5.04%,4.65,168.48亿,3.91,3.67,5.83亿
精准信息(300099),sz300099,6.95,+0.11,+1.61%,6.88,15.30万手,7.04,7.52,6.95万手,1.07亿,-40.87%,27.26亿,149.30,0.04,6.69亿,6.84,3.90%,6.88,"
                        6.16",8.35万手,2.34%,1.31,46.51亿,2.85,2.44,3.92亿
双林股份(300100),sz300100,19.61,-0.28,-1.41%,19.56,20.90万手,20.43,21.88,11.41万手,4.12亿,2.80%,75.79亿,26.32,0.56,4.01亿,19.89,5.41%,19.30,"
                        17.90",9.49万手,5.68%,6.56,78.59亿,2.84,6.90,3.86亿
振芯科技(300101),sz300101,,,,,,,,,,,,,,,,,,,,,,,,,
乾照光电(300102),sz300102,8.07,+0.30,+3.86%,7.80,18.23万手,8.08,8.55,7.62万手,1.45亿,-63.68%,55.08亿,27.46,0.29,7.16亿,7.77,2.67%,7.76,"
                        6.99",10.61万手,4.12%,1.26,57.81亿,2.13,3.79,6.82亿
达刚路机(300103),sz300103,17.66,--,0.00%,--,--,--,19.43,--,--,--,29.57亿,86.29,0.20,2.12亿,17.66,--,--,"
                        15.89",--,--,--,37.39亿,4.22,4.19,1.67亿
乐视网(300104),sz300104,4.76,-0.02,-0.42%,4.79,158.53万手,4.87,5.26,83.21万手,7.58亿,11.56%,144.84亿,--,-0.41,39.89亿,4.78,5.21%,4.72,"
                        4.30",75.31万手,3.14%,11.17,189.90亿,1.52,3.13,30.43亿
龙源技术(300105),sz300105,5.64,+0.12,+2.17%,5.52,9.37万手,5.65,6.07,4.17万手,5209.79万,-78.86%,28.95亿,181.06,0.03,5.13亿,5.52,1.83%,5.46,"
                        4.97",5.20万手,3.44%,1.22,28.95亿,1.50,3.77,5.13亿
西部牧业(300106),sz300106,6.80,+0.12,+1.80%,6.74,2.95万手,6.83,7.35,1.40万手,1990.90万,-29.65%,14.30亿,--,-0.38,2.11亿,6.68,1.40%,6.67,"
                        6.01",1.55万手,2.40%,0.90,14.37亿,1.59,4.28,2.10亿
建新股份(300107),sz300107,9.35,+0.26,+2.86%,9.30,59.57万手,9.50,10.00,28.42万手,5.54亿,9.95%,30.61亿,111.66,0.06,5.47亿,9.09,18.20%,9.03,"
                        8.18",31.15万手,5.17%,9.35,51.12亿,5.50,1.70,3.27亿
吉药控股(300108),sz300108,,,,,,,,,,,,,,,,,,,,,,,,,
新开源(300109),sz300109,42.77,+1.47,+3.56%,41.85,3.08万手,43.33,45.43,1.39万手,1.32亿,-10.84%,36.66亿,72.33,0.44,1.70亿,41.30,3.60%,41.36,"
                        37.17",1.69万手,4.77%,1.10,72.59亿,5.68,7.53,8571.12万
华仁药业(300110),sz300110,6.50,+0.09,+1.40%,6.48,44.14万手,6.60,7.05,22.56万手,2.87亿,11.72%,76.84亿,248.86,0.02,11.82亿,6.41,3.73%,6.45,"
                        5.77",21.58万手,2.34%,6.27,76.84亿,4.34,1.50,11.82亿
向日葵(300111),sz300111,3.26,+0.05,+1.56%,3.21,4.57万手,3.26,3.53,2.04万手,1476.37万,-50.82%,36.41亿,202.55,0.01,11.20亿,3.21,0.41%,3.20,"
                        2.89",2.53万手,1.87%,0.36,36.51亿,2.80,1.16,11.17亿
万讯自控(300112),sz300112,10.29,+0.23,+2.29%,10.09,4.15万手,10.41,11.07,1.94万手,4247.31万,-22.76%,17.96亿,50.10,0.17,2.86亿,10.06,2.38%,9.98,"
                        9.05",2.22万手,4.27%,1.55,29.41亿,3.57,2.88,1.74亿
顺网科技(300113),sz300113,22.86,+0.82,+3.72%,22.06,22.06万手,23.05,24.24,9.67万手,5.00亿,-26.67%,105.63亿,32.05,0.53,6.93亿,22.04,4.77%,22.00,"
                        19.84",12.39万手,4.76%,4.07,158.50亿,5.37,4.25,4.62亿
中航电测(300114),sz300114,11.98,+0.30,+2.57%,11.60,12.05万手,12.09,12.85,5.40万手,1.43亿,-36.74%,70.77亿,54.67,0.22,5.91亿,11.68,2.04%,11.48,"
                        10.51",6.65万手,5.22%,7.39,70.77亿,4.85,2.47,5.91亿
长盈精密(300115),sz300115,18.57,-0.79,-4.08%,18.71,52.61万手,18.86,21.30,29.02万手,9.61亿,52.61%,166.83亿,23.29,0.59,9.03亿,19.36,5.86%,17.67,"
                        17.42",23.59万手,6.15%,12.85,167.71亿,3.83,4.85,8.98亿
坚瑞沃能(300116),sz300116,7.62,--,0.00%,--,--,--,8.38,--,--,--,98.59亿,18.50,0.31,24.33亿,7.62,--,--,"
                        6.86",--,--,--,185.36亿,2.16,3.53,12.94亿
嘉寓股份(300117),sz300117,6.00,+0.06,+1.01%,5.94,12.61万手,6.10,6.53,6.65万手,7589.62万,2.92%,42.86亿,44.17,0.10,7.17亿,5.94,1.77%,5.93,"
                        5.35",5.96万手,2.86%,1.44,43.01亿,2.90,2.07,7.14亿
东方日升(300118),sz300118,11.69,+0.14,+1.21%,11.60,3.62万手,11.78,12.71,1.31万手,4217.09万,-32.46%,59.27亿,18.39,0.48,9.04亿,11.55,0.71%,11.52,"
                        10.39",2.31万手,2.25%,0.48,105.71亿,1.46,8.03,5.07亿
瑞普生物(300119),sz300119,11.23,+0.11,+0.99%,11.09,3.43万手,11.26,12.23,2.30万手,3797.59万,-26.12%,22.99亿,33.26,0.25,4.04亿,11.12,1.68%,10.89,"
                        10.01",1.13万手,3.33%,1.10,45.42亿,2.33,4.82,2.05亿
经纬电材(300120),sz300120,10.75,+0.09,+0.84%,10.66,1.21万手,10.91,11.73,7059手,1303.95万,0.50%,16.24亿,138.77,0.08,2.95亿,10.66,0.80%,10.66,"
                        9.59",5049手,2.35%,0.28,31.66亿,3.55,3.03,1.51亿
阳谷华泰(300121),sz300121,13.97,+0.20,+1.45%,13.84,6.15万手,14.31,15.15,3.63万手,8604.05万,-15.76%,51.49亿,30.72,0.44,3.75亿,13.77,1.67%,13.69,"
                        12.39",2.52万手,4.50%,1.58,52.41亿,5.20,2.69,3.69亿
智飞生物(300122),sz300122,,,,,,,,,,,,,,,,,,,,,,,,,
亚光科技(300123),sz300123,12.71,+0.22,+1.76%,12.62,13.21万手,12.86,13.74,6.80万手,1.67亿,-9.32%,35.15亿,282.80,0.03,5.60亿,12.49,4.78%,12.47,"
                        11.24",6.42万手,3.12%,5.02,71.15亿,1.58,8.06,2.77亿
汇川技术(300124),sz300124,35.36,+1.76,+5.24%,33.59,16.03万手,35.36,36.96,6.63万手,5.57亿,-83.37%,434.09亿,61.03,0.43,16.64亿,33.60,1.31%,33.59,"
                        30.24",9.39万手,5.27%,1.81,588.45亿,11.57,3.06,12.28亿
易世达(300125),sz300125,25.16,+0.40,+1.62%,24.85,2305手,25.18,27.24,573手,576.99万,-62.10%,22.72亿,1578.79,0.01,1.18亿,24.76,0.26%,24.35,"
                        22.28",1732手,3.35%,0.13,29.69亿,2.87,8.77,9029.75万
锐奇股份(300126),sz300126,6.26,+0.15,+2.45%,6.11,3.98万手,6.28,6.72,2.03万手,2465.38万,-41.35%,13.17亿,775.12,0.01,3.05亿,6.11,1.89%,6.10,"
                        5.50",1.95万手,2.95%,0.69,19.12亿,1.84,3.39,2.10亿
银河磁体(300127),sz300127,16.23,+0.32,+2.01%,16.09,2.88万手,16.27,17.50,1.35万手,4635.73万,-73.91%,36.86亿,27.18,0.60,3.23亿,15.91,1.27%,15.94,"
                        14.32",1.52万手,2.07%,0.44,52.45亿,4.32,3.76,2.27亿
锦富技术(300128),sz300128,9.07,--,0.00%,--,--,--,9.98,--,--,--,74.35亿,172.68,0.04,8.42亿,9.07,--,--,"
                        8.16",--,--,--,76.34亿,3.81,2.38,8.20亿
泰胜风能(300129),sz300129,5.99,+0.06,+1.01%,5.94,4.38万手,6.00,6.52,1.62万手,2609.80万,-53.62%,29.40亿,21.28,0.21,7.27亿,5.93,0.89%,5.89,"
                        5.34",2.76万手,1.85%,0.32,43.55亿,1.93,3.11,4.91亿
新国都(300130),sz300130,28.43,-0.61,-2.10%,29.20,6.45万手,29.70,31.94,3.56万手,1.86亿,71.11%,45.79亿,104.93,0.27,2.65亿,29.04,4.01%,28.00,"
                        26.14",2.89万手,5.85%,2.61,75.48亿,3.78,7.53,1.61亿
英唐智控(300131),sz300131,6.81,+0.24,+3.65%,6.56,16.29万手,6.85,7.23,6.64万手,1.09亿,-73.19%,42.75亿,50.93,0.13,10.70亿,6.57,2.60%,6.54,"
                        5.91",9.65万手,4.72%,1.33,72.83亿,3.86,1.76,6.28亿
青松股份(300132),sz300132,7.68,+0.02,+0.26%,7.76,1.01万手,7.76,8.43,5392手,772.80万,32.32%,22.26亿,30.66,0.19,3.86亿,7.66,0.35%,7.61,"
                        6.89",4699手,1.96%,0.08,29.64亿,4.19,1.83,2.90亿
华策影视(300133),sz300133,12.04,+0.25,+2.12%,11.85,16.69万手,12.12,12.97,8.23万手,2.00亿,-4.83%,146.89亿,51.89,0.17,17.70亿,11.79,1.37%,11.81,"
                        10.61",8.46万手,2.63%,2.66,213.07亿,3.21,3.75,12.20亿
大富科技(300134),sz300134,14.01,+0.30,+2.19%,13.88,12.49万手,14.16,15.08,5.57万手,1.74亿,-2.33%,99.81亿,--,-0.48,7.67亿,13.71,1.75%,13.75,"
                        12.34",6.92万手,2.99%,1.42,107.53亿,1.97,7.13,7.12亿
宝利国际(300135),sz300135,3.47,+0.01,+0.29%,3.47,6.99万手,3.55,3.81,3.74万手,2436.58万,-61.03%,31.98亿,73.66,0.04,9.22亿,3.46,0.76%,3.44,"
                        3.11",3.25万手,3.18%,0.40,31.98亿,2.68,1.30,9.22亿
信维通信(300136),sz300136,37.31,+1.13,+3.12%,36.46,16.39万手,37.31,39.80,7.10万手,6.00亿,36.43%,277.93亿,38.47,0.73,9.83亿,36.18,2.20%,35.94,"
                        32.56",9.28万手,3.79%,1.29,366.70亿,14.28,2.61,7.45亿
先河环保(300137),sz300137,19.62,+0.49,+2.56%,19.29,16.69万手,19.65,21.04,8.19万手,3.24亿,-4.24%,58.12亿,53.62,0.27,3.44亿,19.13,5.63%,19.20,"
                        17.22",8.50万手,2.35%,1.21,67.57亿,4.48,4.38,2.96亿
晨光生物(300138),sz300138,11.40,+0.22,+1.97%,11.20,4.00万手,11.45,12.30,1.96万手,4539.28万,36.27%,30.27亿,29.29,0.39,3.67亿,11.18,1.51%,11.20,"
                        10.06",2.04万手,2.24%,0.55,41.83亿,2.57,4.43,2.66亿
晓程科技(300139),sz300139,6.56,+0.21,+3.31%,6.37,6.54万手,6.64,6.99,2.71万手,4247.82万,-10.76%,13.91亿,--,-0.09,2.74亿,6.35,3.09%,6.34,"
                        5.71",3.83万手,4.72%,1.31,17.97亿,1.43,4.60,2.12亿
中环装备(300140),sz300140,14.68,--,0.00%,14.70,15.14万手,15.09,16.15,8.63万手,2.24亿,-22.74%,36.03亿,136.84,0.08,3.45亿,14.68,6.17%,14.56,"
                        13.21",6.52万手,3.61%,3.89,50.67亿,3.97,3.70,2.45亿
和顺电气(300141),sz300141,10.14,+0.16,+1.60%,10.15,3.48万手,10.19,10.98,1.73万手,3502.75万,-2.36%,16.49亿,144.41,0.05,2.55亿,9.98,2.14%,9.96,"
                        8.98",1.74万手,2.30%,1.67,25.88亿,3.70,2.74,1.63亿
沃森生物(300142),sz300142,21.51,+0.36,+1.70%,21.27,18.24万手,21.57,23.27,8.88万手,3.88亿,-85.58%,290.39亿,--,-0.03,15.37亿,21.15,1.35%,20.90,"
                        19.04",9.36万手,3.17%,1.44,330.70亿,10.46,2.06,13.50亿
星普医科(300143),sz300143,24.18,+0.04,+0.17%,24.39,1.43万手,24.50,26.55,7567手,3449.96万,55.70%,33.31亿,56.97,0.42,2.88亿,24.14,1.03%,24.02,"
                        21.73",6689手,1.99%,0.28,69.73亿,2.93,8.24,1.38亿
宋城演艺(300144),sz300144,20.89,+0.47,+2.30%,20.50,14.68万手,21.15,22.46,6.14万手,3.06亿,-44.71%,240.76亿,28.42,0.73,14.53亿,20.42,1.27%,20.42,"
                        18.38",8.54万手,3.57%,2.51,303.45亿,4.14,5.05,11.53亿
中金环境(300145),sz300145,11.88,+0.76,+6.83%,11.17,20.16万手,12.06,12.23,8.51万手,2.36亿,-35.00%,87.89亿,24.10,0.37,12.02亿,11.12,2.73%,11.16,"
                        10.01",11.66万手,8.09%,6.78,142.82亿,3.20,3.71,7.40亿
汤臣倍健(300146),sz300146,16.93,--,0.00%,--,--,--,18.62,--,--,--,147.96亿,32.46,0.52,14.69亿,16.93,--,--,"
                        15.24",--,--,--,248.75亿,4.88,3.47,8.74亿
香雪制药(300147),sz300147,,,,,,,,,,,,,,,,,,,,,,,,,
天舟文化(300148),sz300148,6.67,+0.13,+1.99%,6.53,21.81万手,6.69,7.19,9.91万手,1.44亿,1.98%,50.84亿,30.36,0.16,8.45亿,6.54,2.86%,6.50,"
                        5.89",11.91万手,2.91%,4.42,56.36亿,1.32,5.07,7.62亿
量子高科(300149),sz300149,17.73,+0.91,+5.41%,16.82,6.60万手,18.16,18.50,3.00万手,1.16亿,-16.67%,71.83亿,112.88,0.12,4.22亿,16.82,1.63%,16.70,"
                        15.14",3.60万手,8.68%,1.06,74.84亿,9.34,1.90,4.05亿
世纪瑞尔(300150),sz300150,5.50,+0.15,+2.80%,5.45,10.38万手,5.55,5.89,4.33万手,5647.65万,-17.60%,24.36亿,--,-0.04,5.85亿,5.35,2.34%,5.33,"
                        4.81",6.05万手,4.11%,2.72,32.18亿,2.00,2.76,4.43亿
昌红科技(300151),sz300151,7.56,+0.10,+1.34%,7.58,4.88万手,7.65,8.21,2.70万手,3682.71万,2.58%,21.70亿,115.81,0.05,5.03亿,7.46,1.70%,7.46,"
                        6.71",2.18万手,2.55%,1.12,37.99亿,4.63,1.63,2.87亿
科融环境(300152),sz300152,4.38,+0.11,+2.58%,4.27,19.74万手,4.45,4.70,8.74万手,8569.12万,-40.97%,31.22亿,249.84,0.01,7.13亿,4.27,2.77%,4.27,"
                        3.84",11.00万手,4.22%,0.68,31.22亿,2.28,1.92,7.13亿
科泰电源(300153),sz300153,10.17,+0.22,+2.21%,10.04,3.50万手,10.31,10.95,1.49万手,3557.97万,-2.27%,32.50亿,118.96,0.06,3.20亿,9.95,1.10%,10.00,"
                        8.96",2.01万手,3.12%,0.21,32.54亿,3.38,3.01,3.20亿
瑞凌股份(300154),sz300154,6.29,+0.19,+3.11%,6.12,3.20万手,6.32,6.71,1.45万手,1989.06万,0.33%,19.75亿,31.88,0.15,4.55亿,6.10,1.02%,6.06,"
                        5.49",1.75万手,4.26%,1.05,28.63亿,1.82,3.46,3.14亿
安居宝(300155),sz300155,5.78,+0.18,+3.21%,5.64,7.54万手,5.89,6.16,3.21万手,4335.72万,34.04%,16.06亿,393.97,0.01,5.43亿,5.60,2.71%,5.57,"
                        5.04",4.32万手,5.71%,2.15,31.41亿,2.76,2.09,2.78亿
神雾环保(300156),sz300156,14.90,+0.02,+0.13%,14.95,31.01万手,15.06,16.37,16.06万手,4.62亿,58.09%,107.55亿,16.55,0.68,10.10亿,14.88,4.30%,14.68,"
                        13.39",14.95万手,2.55%,3.59,150.49亿,4.85,3.07,7.22亿
恒泰艾普(300157),sz300157,7.02,+0.10,+1.45%,7.02,18.65万手,7.06,7.61,8.96万手,1.30亿,-55.95%,43.07亿,47.80,0.11,7.13亿,6.92,3.04%,6.91,"
                        6.23",9.69万手,2.17%,0.81,50.04亿,1.31,5.36,6.14亿
振东制药(300158),sz300158,15.32,+0.29,+1.93%,15.04,9.91万手,15.35,16.53,4.89万手,1.51亿,-29.19%,62.64亿,24.57,0.47,5.19亿,15.03,2.42%,15.01,"
                        13.53",5.02万手,2.26%,2.41,79.59亿,1.45,10.57,4.09亿
新研股份(300159),sz300159,10.17,+0.36,+3.67%,9.91,28.08万手,10.18,10.79,12.46万手,2.82亿,-44.75%,96.90亿,44.29,0.17,14.90亿,9.81,2.95%,9.76,"
                        8.83",15.61万手,4.28%,4.39,151.57亿,2.51,4.06,9.53亿
秀强股份(300160),sz300160,6.69,-0.06,-0.89%,6.80,4.80万手,6.80,7.43,3.05万手,3240.78万,-26.68%,39.27亿,22.23,0.23,5.98亿,6.75,0.82%,6.69,"
                        6.08",1.75万手,1.63%,0.64,39.99亿,2.99,2.24,5.87亿
华中数控(300161),sz300161,18.56,+1.69,+10.02%,17.56,24.08万手,18.56,18.56,11.06万手,4.28亿,100.00%,30.70亿,97.57,0.19,1.73亿,16.87,14.56%,17.27,"
                        15.18",13.03万手,7.65%,5.85,32.07亿,2.80,6.63,1.65亿
雷曼股份(300162),sz300162,7.76,+0.15,+1.97%,7.57,5.21万手,7.86,8.37,2.10万手,4047.23万,17.15%,16.99亿,85.08,0.07,3.50亿,7.61,2.38%,7.57,"
                        6.85",3.11万手,3.81%,0.95,27.12亿,2.47,3.15,2.19亿
先锋新材(300163),sz300163,5.07,+0.08,+1.60%,4.98,9.16万手,5.09,5.49,3.72万手,4599.26万,-47.15%,16.73亿,278.08,0.01,4.74亿,4.99,2.78%,4.92,"
                        4.49",5.44万手,3.41%,0.91,24.03亿,3.32,1.53,3.30亿
通源石油(300164),sz300164,6.71,+0.19,+2.91%,6.56,5.91万手,6.72,7.17,2.57万手,3913.03万,52.74%,21.12亿,207.28,0.02,4.49亿,6.52,1.88%,6.49,"
                        5.87",3.34万手,3.53%,0.65,30.15亿,1.93,3.48,3.15亿
天瑞仪器(300165),sz300165,6.69,+0.14,+2.14%,6.60,4.36万手,6.71,7.21,1.99万手,2900.67万,-76.25%,20.39亿,34.48,0.15,4.62亿,6.55,1.43%,6.56,"
                        5.90",2.37万手,2.29%,0.35,30.89亿,1.97,3.40,3.05亿
东方国信(300166),sz300166,18.12,+0.95,+5.53%,17.29,35.61万手,18.12,18.89,14.89万手,6.32亿,40.82%,146.13亿,90.72,0.15,10.50亿,17.17,4.42%,17.26,"
                        15.45",20.72万手,5.01%,4.40,190.25亿,4.62,3.92,8.06亿
迪威迅(300167),sz300167,8.28,+0.22,+2.73%,8.11,6.38万手,8.33,8.87,2.68万手,5247.84万,-19.24%,24.86亿,--,0.00,3.00亿,8.06,2.13%,8.10,"
                        7.25",3.70万手,2.85%,1.77,24.86亿,3.57,2.32,3.00亿
万达信息(300168),sz300168,19.32,+1.22,+6.74%,18.35,59.25万手,19.40,19.91,24.56万手,11.13亿,-32.72%,197.74亿,134.30,0.11,10.31亿,18.10,5.79%,18.15,"
                        16.29",34.70万手,6.91%,5.15,199.21亿,8.46,2.28,10.23亿
天晟新材(300169),sz300169,6.27,+0.14,+2.28%,6.15,1.90万手,6.28,6.74,7217手,1181.96万,-52.37%,16.15亿,454.11,0.01,3.26亿,6.13,0.74%,6.14,"
                        5.52",1.18万手,2.28%,0.37,20.44亿,1.63,3.85,2.58亿
汉得信息(300170),sz300170,17.76,+0.58,+3.38%,17.20,51.66万手,17.84,18.90,22.76万手,9.06亿,17.03%,117.93亿,58.86,0.23,8.73亿,17.18,7.78%,17.06,"
                        15.46",28.90万手,4.54%,5.26,155.04亿,6.64,2.68,6.64亿
东富龙(300171),sz300171,8.50,+0.24,+2.91%,8.32,4.84万手,8.58,9.09,1.84万手,4094.59万,-15.43%,28.37亿,36.23,0.18,6.28亿,8.26,1.45%,8.28,"
                        7.43",3.00万手,3.63%,1.43,53.41亿,1.80,4.73,3.34亿
中电环保(300172),sz300172,,,,,,,,,,,,,,,,,,,,,,,,,
智慧松德(300173),sz300173,7.90,--,0.00%,--,--,--,8.69,--,--,--,40.23亿,68.93,0.11,5.86亿,7.90,--,--,"
                        7.11",--,--,--,46.31亿,2.75,2.88,5.09亿
元力股份(300174),sz300174,30.15,-0.21,-0.69%,30.03,3531手,30.45,33.40,1803手,1068.54万,-21.03%,66.38亿,165.81,0.14,2.45亿,30.36,0.16%,30.03,"
                        27.32",1728手,1.38%,0.27,73.81亿,13.24,2.28,2.20亿
朗源股份(300175),sz300175,6.33,+0.02,+0.32%,6.31,12.00万手,6.35,6.94,6.63万手,7549.05万,-16.34%,29.22亿,43.55,0.11,4.71亿,6.31,2.60%,6.24,"
                        5.68",5.38万手,1.74%,1.71,29.80亿,3.81,1.66,4.62亿
鸿特精密(300176),sz300176,140.93,-4.37,-3.01%,145.55,1.89万手,146.78,159.83,1.16万手,2.70亿,19.53%,150.77亿,40.42,2.62,1.07亿,145.30,1.77%,140.61,"
                        130.77",7301手,4.25%,0.36,151.19亿,16.86,8.36,1.07亿
中海达(300177),sz300177,10.55,+0.29,+2.83%,10.25,6.94万手,10.61,11.29,2.66万手,7255.05万,-17.93%,33.42亿,88.03,0.09,4.47亿,10.26,2.19%,10.22,"
                        9.23",4.28万手,3.80%,1.29,47.16亿,2.88,3.66,3.17亿
腾邦国际(300178),sz300178,15.16,+0.36,+2.43%,15.00,8.62万手,15.28,16.28,3.79万手,1.30亿,-52.15%,80.60亿,32.94,0.46,6.17亿,14.80,1.62%,14.80,"
                        13.32",4.83万手,3.24%,0.92,93.46亿,3.50,4.34,5.32亿
四方达(300179),sz300179,6.37,+0.04,+0.63%,6.34,2.34万手,6.37,6.96,1.02万手,1479.94万,-44.59%,20.43亿,36.55,0.14,4.96亿,6.33,0.73%,6.28,"
                        5.70",1.32万手,1.42%,0.25,31.62亿,3.77,1.69,3.21亿
华峰超纤(300180),sz300180,23.23,-0.01,-0.04%,23.38,1.28万手,23.44,25.56,5888手,2960.28万,-58.80%,88.26亿,56.23,0.31,6.31亿,23.24,0.34%,22.90,"
                        20.92",6916手,2.32%,0.13,146.59亿,3.05,7.62,3.80亿
佐力药业(300181),sz300181,7.30,+0.23,+3.25%,7.22,34.26万手,7.50,7.78,16.56万手,2.49亿,-11.80%,28.98亿,98.43,0.07,6.09亿,7.07,8.63%,7.08,"
                        6.36",17.70万手,5.94%,3.14,44.43亿,3.28,2.23,3.97亿
捷成股份(300182),sz300182,10.56,+0.39,+3.83%,10.23,36.86万手,10.62,11.19,15.55万手,3.85亿,-55.31%,146.85亿,26.45,0.30,25.75亿,10.17,2.65%,10.21,"
                        9.15",21.31万手,4.03%,6.42,271.92亿,2.85,3.71,13.91亿
东软载波(300183),sz300183,18.40,+0.72,+4.07%,17.76,13.01万手,18.40,19.45,5.98万手,2.34亿,13.83%,48.49亿,34.96,0.41,4.70亿,17.68,4.94%,17.39,"
                        15.91",7.03万手,5.71%,2.28,86.54亿,3.21,5.73,2.64亿
力源信息(300184),sz300184,12.02,+0.81,+7.23%,11.26,14.67万手,12.12,12.33,5.66万手,1.72亿,-57.97%,36.23亿,22.18,0.41,6.58亿,11.21,4.87%,11.26,"
                        10.09",9.01万手,7.67%,0.96,79.12亿,1.90,6.32,3.01亿
通裕重工(300185),sz300185,2.23,+0.01,+0.45%,2.22,21.03万手,2.24,2.44,7.20万手,4682.93万,-17.99%,61.13亿,34.13,0.07,32.68亿,2.22,0.77%,2.21,"
                        2.00",13.83万手,1.35%,0.11,72.87亿,1.44,1.55,27.41亿
大华农(300186),sz300186,45.72,--,0.00%,--,--,--,--,--,--,--,183.10亿,154.08,--,--,45.72,--,--,"
                        --",--,--,--,246.59亿,11.62,--,--
永清环保(300187),sz300187,9.65,+0.02,+0.21%,9.63,1.72万手,9.68,10.59,9769手,1661.94万,-27.62%,57.58亿,56.15,0.13,6.49亿,9.63,0.29%,9.60,"
                        8.67",7464手,0.83%,0.28,62.58亿,4.04,2.39,5.97亿
美亚柏科(300188),sz300188,31.00,+1.11,+3.71%,30.00,23.95万手,31.96,32.88,11.61万手,7.36亿,11.15%,95.15亿,56.71,0.55,4.97亿,29.89,7.80%,29.30,"
                        26.90",12.33万手,8.90%,3.75,154.08亿,6.62,4.68,3.07亿
神农基因(300189),sz300189,3.93,+0.09,+2.34%,3.82,26.53万手,3.94,4.22,13.16万手,1.03亿,-8.97%,34.65亿,--,-0.01,10.24亿,3.84,3.01%,3.80,"
                        3.46",13.37万手,3.65%,1.72,40.24亿,2.84,1.38,8.82亿
维尔利(300190),sz300190,11.00,+0.47,+4.46%,10.54,7.50万手,11.07,11.58,3.49万手,8178.89万,-59.67%,43.59亿,33.35,0.25,4.52亿,10.53,1.89%,10.54,"
                        9.48",4.01万手,5.03%,1.28,49.75亿,1.39,7.91,3.96亿
潜能恒信(300191),sz300191,20.92,+0.47,+2.30%,20.65,2.45万手,21.05,22.50,1.03万手,5095.29万,-6.57%,43.31亿,--,-0.06,3.20亿,20.45,1.19%,20.45,"
                        18.41",1.42万手,2.93%,0.24,66.94亿,5.81,3.60,2.07亿
科斯伍德(300192),sz300192,8.73,+0.32,+3.80%,8.34,5.73万手,8.75,9.25,2.37万手,4907.14万,-83.96%,15.23亿,104.65,0.06,2.43亿,8.41,3.29%,8.20,"
                        7.57",3.37万手,6.54%,1.25,21.17亿,2.95,2.96,1.74亿
佳士科技(300193),sz300193,7.60,+0.15,+2.01%,7.43,4.72万手,7.64,8.20,2.14万手,3568.32万,-33.77%,34.65亿,26.82,0.28,5.07亿,7.45,1.04%,7.43,"
                        6.70",2.58万手,2.82%,0.44,38.56亿,1.69,4.48,4.56亿
福安药业(300194),sz300194,5.67,+0.08,+1.43%,5.60,5.16万手,5.70,6.15,2.01万手,2916.91万,-59.41%,33.20亿,21.32,0.20,11.90亿,5.59,0.88%,5.60,"
                        5.03",3.15万手,1.79%,2.00,67.46亿,1.64,3.45,5.85亿
长荣股份(300195),sz300195,13.87,+0.01,+0.07%,13.86,2.22万手,13.94,15.25,9387手,3078.70万,-17.38%,28.80亿,37.44,0.28,4.33亿,13.86,1.07%,13.80,"
                        12.47",1.28万手,1.01%,0.33,60.12亿,1.51,9.19,2.08亿
